recipient/name;recipient/ror_id;recipient/wikidata_id;recipient/custom_id
OpenCitations;00wb4mk85
arXiv;00m2zh467
Directory of Open Access Journals;05amyt365
Dryad;00x6h5n95
Dspace;;Q595786
Episciences;;Q23688650
La Referencia;024pbfj84
Make Data Count;;Q139497168
OAPEN & DOAB;;;doab_oapen
Open Policy Finder;;Q138427491
PKP;05ek4tb53
Redalyc/AmeliCA;;;amelica_redalyc
ROR;;Q110235640
Software Heritage;02etvq888
African Journals Online (AJOL);;Q4689837
Research Data Alliance (RDA);05dc6w374
SciPost;05br64h13
