recipient/name;recipient/ror_id;recipient/wikidata_id;recipient/custom_id
Annual Reviews;05r2g1b90
Astronomy & Astrophysics S2O;;Q752075
COAR;;Q48789578
Crossref;02twcfp32
DSpace;;Q595786
EMS Press;05wd3f534
EOSC;;Q29051497
German Initiative for Networked Information (DINI);00zam7c12
MSP Journals;;Q6786842
OAPEN & DOAB;;;doab_oapen
OASPA;00eere705
Open Library of Economics;;;open_library_of_economics
Open Library of Humanities;;Q17072915
open-access.network;;;open_access_network
OpenAIRE AMKE;019kf3481
OPERAS AISBL;00rfexj26
ORCID;;Q19861084
Peer Community In;0315saa81
Programming Historian;;Q50817399
SciPost;05br64h13
SCOAP3;012fftw39
Verfassungsblog;;Q97588182
