recipient/name;recipient/ror_id;recipient/wikidata_id;recipient/custom_id
DOAJ;05amyt365
EDCH;;Q139496337
HAL;;Q3144107
Mir@bel;;Q25389821
OpenAlex;02nr0ka47
OpenEdition;;Q16668108
OPERAS;00rfexj26
ORCID;04fa4r544
PCI;0315saa81
RDA;05dc6w374
Software Heritage;02etvq888
EOSC;;Q29051497
