emitter/name;emitter/ror_id;emitter/wikidata_id
Ingolstadt University of Applied Sciences;02bxzcy64;
Inland Norway University of Applied Sciences;02dx4dc92;
Institute for Social Research;05swz5441;
Iowa State University;04rswrd78;
Irish Research eLibrary (IReL);05c347015;
Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Hochschulbibliothek;02vvvm705;
James Madison University;028pmsz77;
Karlstad University;05s754026;
Karolinska Institute;056d84691;
Karolinska Institutet;056d84691;
KB National Library of the Netherlands;02w4jbg70;
KBR (Royal Library of Belgium);0105w2p42;
King Abdullah University of Science and Technology;01q3tbs38;
King's College London (KCL, University of London);0220mzb33;
Koninklijke Bibliotheek (KB) - National Library of the Netherlands;02w4jbg70;
Konsortium Baden-Württemberg;;Q76612447
Konsortium der Schweizer Hochschulbibliotheken;01jmqcy63;
KU Leuven;05f950310;
Kungliga biblioteket;049bh0z35;
Kwantlen Polytechnic University;04raxj885;
La bibliothèque de Sciences Po Grenoble;03c7zyj82;
Lancaster University;04f2nsd36;
Lane Community College;05113n960;
Laurel Ridge Community College;;Q6679233
Lewis & Clark College;013pz1582;
LIB4RI - Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;021f7p178;
LIB4RI;021f7p178;
Library of the Deutsches Museum;;Q856506
Linfield University;0228k1a18;
Linnaeus University;00j9qag85;
Liverpool John Moores University;04zfme737;
LMU Munich;00ae33288;
London School of Economics & Political Science (LSE);0090zs177;
London School of Hygiene & Tropical Medicine;00a0jsq62;
London South Bank University;02vwnat91;
Loughborough University;04vg4w365;
Lucerne University of Applied Sciences and Arts (HSLU);04nd0xd48;
Ludwig-Maximilians-Universität München (LMU) – Universitätsbibliothek;00ae33288;
Lund University;012a77v79;
Lunds Universitet;012a77v79;
Luxembourg University Library Consortium;05e0vkr08;
Macalester College;04fceqm38;
Macalester University;04fceqm38;
MacEwan University;003s89n44;
Malmö Universitet;05wp7an13;
Malmö University;05wp7an13;
Massachusetts Institute of Technology (MIT);042nb2s44;
Massey University;052czxv31;
Max Planck Digital Library (MPDL);0061msm67;
Maynooth University;048nfjm95;
McMaster University;02fa3aq29;
MDPI Books;00ckv2g77;
Memorial University of Newfoundland;04haebc03;
Metropolia University of Applied Sciences;03hdaef25;
Michigan State University;05hs6h993;
Milano University Press;0198xy071;
Molde University College - Specialized University in Logistics;00kxjcd28;
Mount Royal University;04evsam41;
Mt. Hood Community College;001cbt815;
Munich University of Applied Sciences;012k1v959;
Nantes Université;03gnr7b55;
Nantes University;03gnr7b55;
National Library of Scotland;051samc18;
National Library of Sweden (Bibsam);049bh0z35;
National Library of Sweden;049bh0z35;
National University of Ireland, Galway;03bea9k73;
New York Public Library (NYPL);02eysy271;
New York University (NYU);0190ak572;
Nipissing University;05k14ba46;
Nofima the food research institute;02v1rsx93;
Nord University;030mwrt98;
Norfolk State University;030pydv62;
Northwestern University;000e0be47;
Norwegian Business School;03ez40v33;
Norwegian University of Science and Technology (NTNU);05xg72x27;
OCLC;02nv42w72;
Ohio State University;00rs6vg23;
Old Dominion University;04zjtrb98;
Orbis Cascade Alliance;;Q7100024
Oregon Health & Science University;009avj582;
Oregon Institute of Technology;03c36x865;
Oregon State University;00ysfqy60;
OsloMet – Oslo Metropolitan University;04q12yn84;
Osnabrück University of Applied Sciences;059vymd37;
OTH Amberg-Weiden;00gm0aw40;
Otto-Friedrich-Universität Bamberg – Universitätsbibliothek;01c1w6d29;
Otto-Friedrich-Universität Bamberg Universitätsbibliothek;01c1w6d29;Q707272
Otto-von-Geuricke University of Magdeburg;00ggpsq73;
Otto-von-Guericke-Universitaet Magdeburg - Universitaetsbibliothek;00ggpsq73;Q655866
Otto-von-Guericke-Universität Magdeburg – Universitätsbibliothek;00ggpsq73;
Oxford Brookes University Library;04v2twj65;
Pacific University;059z5w858;
Palucca-Hochschule für Tanz Dresden – Bibliothek;01ptm9403;Q2048456
Paris Lodron Universität Salzburg (PLUS);05gs8cd61;
Paris Lodron University Salzburg (PLUS);05gs8cd61;
Paris-Saclay University;03xjwb503;
Pennsylvania State University;04p491231;
Philadelphia College of Osteopathic Medicine;00m9c2804;
Philipps-Universität Marburg;01rdrb571;
Portland Community College;01e4pq504;
Portland State University;00yn2fy02;
Pratt Institute;007m3p006;
Purdue University;02dqehb95;
Queen's University Belfast;00hswnk62;
Queensland University of Technology;03pnv4752;
Radboud Universiteit;016xsfp80;
Reed College;00a6ram87;
Rheinische Friedrich-Wilhelms-Universität Bonn – Universitäts- und Landesbibliothek Bonn (ULB);041nas322;
Richard Bland College;01v4enb76;
Rijksuniversiteit Groningen;012p63287;
Royal College Surgeons In Ireland;01hxy9878;
Royal Danish Library (Det kgl. Bibliothek);03vvy0v27;
Royal Library of Belgium (KBR);0105w2p42;
Royal Roads University;05w4ste42;
Rutgers University;05vt9qd57;
Sächsische Landesbibliothek Staats- und Universitätsbibliothek Dresden (SLUB);03wf51b65;
Saint Martin's University;01awd1q38;
Savonia University of Applied sciences;0238fqd79;
Savonia University of Applied Sciences;0238fqd79;
Schweizerischer Nationalfonds;00yjd3n13;
Sciences Po Grenoble;03c7zyj82;
SCK CEN;020xs5r81;
Seattle Pacific University;02gzbg991;
Seattle University;02jqc0m91;
Sheffield Hallam University;019wt1929;
SOAS (School of Oriental and African Studies), University of London;04vrxay34;Q220144
Southampton Solent University;05xydav19;
Southern Oregon University;010kva064;
Spanish National Research Council (CSIC);02gfc7t72;
Springer Nature;0117jxy09;
Stiftung Universität Hildesheim;02f9det96;
Stockholm School of Economics;01s5jzh92;
Stockholm University Library;05f0yaq80;
Stockholm University;05f0yaq80;
Stockholm University/Library;05f0yaq80;
SUB Göttingen;01y9bpm73;
SUNY System;01q1z8k08;
Swansea University;053fq8t95;
Swarthmore College;012dg8a96;
Swedish Defense University;01r097937;
Swiss National Science Fund;00yjd3n13;
Tampere University including Tampere University Hospital;033003e23;
Taylor & Francis;04bd6je18;
Technical University Berlin (TU Berlin);03v4gjf40;
Technical University of Denmark (DTU);04qtj9h94;
Technische Hochschule Ingolstadt;02bxzcy64;
Technische Hochschule Würzburg-Schweinfurt (THWS);01k5h5v15;
Technische Universität Berlin - Universitätsbibliothek;03v4gjf40;
Technische Universität Braunschweig – Universitätsbibliothek;010nsgg66;
Technische Universität Wien (TU Wien);04d836q62;
Technischen Universität Chemnitz, Universitätsbibliothek;00a208s56;
Technological University Dublin;04t0qbt32;
Temple University;00kx1jb78;
TH Nürnberg;00nggaz43;
The Council of Australian University Librarians (CAUL);00aa7w613;
The Danish Center for Social Science Research (VIVE);0523ssa79;
The Evergreen State College;043yd1m08;
The Jade University of Applied Sciences;02vvvm705;
The Ohio State University;00rs6vg23;
The Open University (UK);05mzfcs16;
The Open University of the UK;05mzfcs16;
The University of Notre Dame Australia;02stey378;
The University of Notre Dame Australia/Library;02stey378;Q1887921
The University of Sheffield;05krs5044;
TIB Hannover;04aj4c181;Q2399120
Tilburg University;04b8v1s79;
Trinity College Dublin;02tyrky19;
TU Braunschweig;010nsgg66;
TU Darmstadt, Universitäts - und Landesbibliothek;05n911h24;
TU Darmstadt;05n911h24;
TU Delft;02e2c7k09;
UB Bamberg;01c1w6d29;
UB Eichstätt-Ingolstadt;00mx91s63;
UB Erlangen-Nürnberg;00f7hpc57;
UB Passau;;Q23786561
UB Regensburg;01eezs655;
UCL University College;;Q115686474
UiT The Arctic University of Norway;00wge5k78;
Umeå University;05kb8h459;
Università degli Studi di Padova;00240q980;
Università della Svizzera Italiana;03c4atk17;
Universitaire Bibliotheken Leiden / University of Leiden;027bh9e22;
Universitat Autònoma de Barcelona (UAB);052g8jq94;
Universität Basel;02s6k3f65;
Universität Bern;02k7v4d05;
Universität für angewandte Kunst Wien (dieAngewandte);05yjy4360;
Universität Graz (Karl-Franzens-Universität);01faaaf77;
Universität Greifswald - Universitätsbibliothek;00r1edq15
Universität Leipzig – Universitätsbibliothek Leipzig;03s7gtk40;
Universität Leipzig;03s7gtk40;
Universität Luzern;00kgrkn83;
Universität Osnabrück – Universitätsbibliothek;04qmmjx98;
Universität Passau – Universitätsbibliothek;05ydjnb78;
Universität Potsdam - Universitätsbibliothek;03bnmw459;
Universität Regensburg – Universitätsbibliothek;01eezs655;
Universität St Gallen;0561a3s31;
Universität Vechta;045y6d111;
Universität Wien Bibliotheks - und Archivwesen;03prydq77;
Universität Zürich;02crff812;
Universitäts - und Landesbibliothek Bonn;041nas322;
Universitäts - und Stadtbibliothek Köln;00rcxh774;
Universitätsbibliothek der LMU München;00ae33288;
Universitätsbibliothek Graz;01faaaf77;
Universitätsbibliothek Leipzig, Bibliotheca Albertina;03s7gtk40
Universitätsbibliothek Osnabrück;04qmmjx98;
Université Côte d'Azur - UniCA;019tgvf94;
Université Côte d'Azur;019tgvf94;
Université de Bordeaux Montaigne;03pbgwk21;
Université de Bourgogne;00g700j37;
Université de Fribourg;022fs9h90;
Université de Genève;01swzsf04;
Université de Lausanne;019whta54;
Université de Lille;02kzqn938;
Université de Lorraine;04vfs2w97;
Université de Montpellier Paul-Valéry;00qhdy563;
Université de Montpellier;051escj72;
Université de Montréal;0161xgx34;
Université de Neuchâtel;00vasag41;
Université de Paris-Saclay DiBISO;03xjwb503;
Université de Paris-Saclay;03xjwb503;
Université de Paris;05f82e368;
Université de Pau et des Pays de l'Adour;01frn9647;
Université de Poitiers;04xhy8q59;
Université de Rouen Normandie;03nhjew95;
Université de Tours;02wwzvj46;
Université du Québec à Montréal;002rjbv21;
Université Gustave Eiffel (Bibliothèque Georges Perec);03x42jk29;
Université Jean Moulin Lyon III;05b5c0584;
Université Laval;04sjchr03;
Université Lumière Lyon 2;03rth4p18;
Université Marie et Louis Pasteur;04asdee31;
Université Paris Cité;05f82e368;
Université Paris Nanterre;013bkhk48;
Université Paul Valéry Montpellier 3;05pbb8783;
Université Rennes II Haute-Bretagne;01m84wm78;
Universiteit Antwerpen;008x57b05;
Universiteit Hasselt;04nbhqj75;
University College Absalon;05sv58043;
University College Copenhagen;004r9h172;
University College Cork (UCC);03265fv13;
University College Dublin;05m7pjf47;
University College London (UCL);02jx3x895;
University College of Northern Denmark;056c4z730;
University College of South Denmark;058q57q63;
University Jean Moulin Lyon III;05b5c0584;
University Library of Berne;02k7v4d05;
University of Aarhus (AU);01aj84f44;
University of Adelaide;028g18b61;
University of Agder;03x297z98;
University of Alberta;0160cpw27;
University of Applied Sciences Lucerne;04nd0xd48;
University of Applied Sciences Northwestern Switzerland (FHNW);04mq2g308;
University of Applied Sciences Würzburg-Schweinfurt;01k5h5v15;
University of Arizona;03m2x1q45;
University of Basel;02s6k3f65;
University of Bath;002h8g185;
University of Bergen;03zga2b32;
University of Birmingham;03angcq70;
University of Bonn;041nas322;
University of Bristol;0524sp257;
University of California, Berkeley;01an7q238;
University of California, Davis;05rrcem69;
University of California, Irvine;04gyf1771;
University of California, Los Angeles;046rm7j60;
University of California, Merced;00d9ah105;
University of California, Office of the President;00dmfq477;
University of California, Riverside;03nawhv43;
University of California, San Diego;0168r3w48;
University of California, San Francisco;043mz5j54;
University of California, Santa Barbara;02t274463;
University of California, Santa Cruz;03s65by71;
University of Cambridge;013meh722;
University of Canterbury;03y7q9t39;
University of Central Lancashire (UCLan);010jbqd54;
University of Chicago;024mw5h28;
University of Cologne;00rcxh774;
University of Copenhagen (KU);035b05819;
University of Delaware;01sbq1a82;
University of Durham;01v29qb04;
University of Eastern Finland in Joensuu and Kuopio;00cyydd11;
University of Eastern Finland including Kuopio University Hospital;00cyydd11;
University of Edinburgh;01nrxwf90;
University of Exeter;03yghzc09;
University of Fribourg;022fs9h90;
University of Gävle;043fje207;
University of Geneva;01swzsf04;
University of Gothenburg;01tm6cn81;
University of Graz Library;01faaaf77;
