emitter/name;emitter/ror_id;emitter/wikidata_id
Academy of Fine Arts Vienna
Allegheny College
Arkansas State University
Bates College
Bath Spa University
Bethel University
Bielefeld University Library
Birkbeck College
Birmingham City University
Boston College
British Library
Brown University
BTAA, 15 universities including Indiana University, Michigan State University, Northwestern University, Ohio State University, Penn State University, Purdue University Libraries, Rutgers University - New Brunswick, The University of Iowa, University of Chicago, University of Illinois, University of Maryland Libraries – College Park, University of Michigan, University of Minnesota, University of Nebraska-Lincoln, University of Wisconsin-Madison
California Digital Library 
California Digital Library, 10 universities including University of California, Berkeley, University of California, Davis, University of California, Irvine, University of California, Los Angeles, University of California, Merced, University of California, Riverside, University of California, San Diego, University of California, San Francisco, University of California, Santa Barbara, University of California, Santa Cruz
California State University, East Bay
Cardiff University
Carleton College
Carnegie Mellon University
Catholic University of Eichstätt-Ingolstadt
Cengage Learning, Inc
Colby College
Columbia University
Concordia University
Concordia University (Canada)
Cornell University
CSIC
Dakota
Dalhousie University
Dartmouth College Libraries
Dartmouth Libraries
Davidson College
De Montfort University
DePauw University
Dickinson College
Dublin City University
Dublin City University Library
Duke University
Ecole Normale Superieure
École normale supérieure ENS-PSL
Edge Hill University
ELTE Research Centre for Linguistics
Emory University
Erasmus Universiteit Rotterdam
ETH Zurich
ETH Zürich
Faculdade de Arquitectura da Universidade do Porto
Finelib Consortium: 4 institutions including Abo Akademi University, University of Eastern Finland incl. Kuopio University Hospital, University of Helsinki incl. Helsinki University Central Hospital and University of Jyväskylä
Florida Southern College
Florida State University Libraries
Franklin & Marshall College
Freie Universitaet Berlin
FWF
FWF Austrian Science Fund
Gale’s annual contribution
Georg-August-Universität Göttingen
George Mason University
George Washington University
Gettysburg College
Ghent University
Giessen University
Giessen University Library
Giessen University Library.
Goldsmiths College
Graduate Institute of International and Development Studies
Grinnell College
Hamilton College
Harvard University
HEAL LINK Academic Libraries Consortium
HEAL LINK Academic Libraries Consortium (43 institutions), see list here: https://www.openlibhums.org/plugins/supporters/?filter-supporters=greece
Hochschule Luzern
Hollins University
Humboldt-Universität zu Berlin
Hungarian Research Centre for Linguistics
Imperial College of Science, Technology and Medicine
Iowa State University
James Madison University
Johannes Gutenberg University Mainz
Johns Hopkins University
Katholische Universität Eichstätt-Ingolstadt
Kenyon College Library
King's College London
Konstanz
KU Leuven
Leibniz-Centre General Linguistics (ZAS)
Leibniz-Zentrum für Literatur- und Kulturforschung
Leiden University
Leiden University 
Leipzig University
Linnaeus University
London School of Economics & Political Science
London South Bank University
Loughborough University
Ludwig-Maximilians-Universität München
Ludwig-Maximilians-Universität München, University Library
Macalester College
MacEwan University
Manchester Metropolitan University
Martin-Luther-University Halle-Wittenberg
Martin-Luther-University Halle-Wittenberg Universita ̈ts- und Landesbibliothek Sach sen-Anhalt
Martin-Luther-University Halle-Wittenberg, Universitäts- und Landesbibliothek Sachsen-Anhalt Halle
Masahiko Takahashi
