recipient/name;recipient/ror_id;recipient/wikidata_id;recipient/custom_id
AJOL;;Q4689837
DOAJ;05amyt365
PCI;0315saa81
HAL;;Q3144107
open edition ( Freemium via ABES - Couperin);;Q16668108
COAR ( membership);;Q48789578
